record_type,relation,source_design_id,source_split,neighbor_design_id,neighbor_split,normalized_euclidean_distance,cross_split,within_predeclared_radius_0_10
nearest_by_relation,new_original,AUGV1-D050,train,D014,train,0.42276524473496579,False,False
nearest_by_relation,new_new,AUGV1-D051,train,AUGV1-D067,test,0.34051671257057714,True,False
nearest_by_relation,new_original,AUGV1-D051,train,D001,train,0.59016753362048102,False,False
nearest_by_relation,new_new,AUGV1-D052,train,AUGV1-D068,test,0.30279525239542038,True,False
nearest_by_relation,new_original,AUGV1-D052,train,D039,train,0.33711695917571194,False,False
nearest_by_relation,new_new,AUGV1-D053,train,AUGV1-D065,validation,0.32390879186693861,True,False
nearest_by_relation,new_original,AUGV1-D053,train,D029,train,0.45902617878988661,False,False
nearest_by_relation,new_new,AUGV1-D054,train,AUGV1-D038,train,0.32200149824683477,False,False
nearest_by_relation,new_original,AUGV1-D054,train,D014,train,0.44288048677454062,False,False
nearest_by_relation,new_new,AUGV1-D055,train,AUGV1-D043,train,0.32821497332389615,False,False
nearest_by_relation,new_original,AUGV1-D055,train,D008,train,0.45939521572310527,False,False
nearest_by_relation,new_new,AUGV1-D056,train,AUGV1-D068,test,0.33096695857883146,True,False
nearest_by_relation,new_original,AUGV1-D056,train,D012,test,0.30209526993475022,True,False
nearest_by_relation,new_new,AUGV1-D057,train,AUGV1-D041,train,0.35956218498780751,False,False
nearest_by_relation,new_original,AUGV1-D057,train,D028,train,0.31602360948088037,False,False
nearest_by_relation,new_new,AUGV1-D058,train,AUGV1-D062,validation,0.3562059419081981,True,False
nearest_by_relation,new_original,AUGV1-D058,train,D034,test,0.46272744240044417,True,False
nearest_by_relation,new_new,AUGV1-D059,train,AUGV1-D047,train,0.32390879186693861,False,False
nearest_by_relation,new_original,AUGV1-D059,train,D018,train,0.48667621213049334,False,False
nearest_by_relation,new_new,AUGV1-D060,validation,AUGV1-D048,train,0.36959327791655949,True,False
nearest_by_relation,new_original,AUGV1-D060,validation,D036,train,0.48568014206865873,True,False
nearest_by_relation,new_new,AUGV1-D061,validation,AUGV1-D037,train,0.20842201727654622,True,False
nearest_by_relation,new_original,AUGV1-D061,validation,D032,train,0.23945735365878229,True,False
nearest_by_relation,new_new,AUGV1-D062,validation,AUGV1-D038,train,0.20884806693719413,True,False
nearest_by_relation,new_original,AUGV1-D062,validation,D026,test,0.3523176649322296,True,False
nearest_by_relation,new_new,AUGV1-D063,validation,AUGV1-D047,train,0.36067293338037765,True,False
nearest_by_relation,new_original,AUGV1-D063,validation,D001,train,0.23340654698653529,True,False
nearest_by_relation,new_new,AUGV1-D064,validation,AUGV1-D044,train,0.36234400918197696,True,False
nearest_by_relation,new_original,AUGV1-D064,validation,D039,train,0.47634228167159476,True,False
nearest_by_relation,new_new,AUGV1-D065,validation,AUGV1-D053,train,0.32390879186693861,True,False
nearest_by_relation,new_original,AUGV1-D065,validation,D029,train,0.58689141745546414,True,False
nearest_by_relation,new_new,AUGV1-D066,test,AUGV1-D042,train,0.32892475211121219,True,False
nearest_by_relation,new_original,AUGV1-D066,test,D026,test,0.19308050168339316,False,False
nearest_by_relation,new_new,AUGV1-D067,test,AUGV1-D051,train,0.34051671257057714,True,False
nearest_by_relation,new_original,AUGV1-D067,test,D008,train,0.41913143643532658,True,False
nearest_by_relation,new_new,AUGV1-D068,test,AUGV1-D044,train,0.2088480669371941,True,False
nearest_by_relation,new_original,AUGV1-D068,test,D012,test,0.29536859793360698,False,False
nearest_by_relation,new_new,AUGV1-D069,test,AUGV1-D045,train,0.20402372001487673,True,False
nearest_by_relation,new_original,AUGV1-D069,test,D028,train,0.40890775013135872,True,False
nearest_by_relation,new_new,AUGV1-D070,test,AUGV1-D058,train,0.36577455873228948,True,False
nearest_by_relation,new_original,AUGV1-D070,test,D034,test,0.66647511916365232,False,False
nearest_by_relation,new_new,AUGV1-D071,test,AUGV1-D047,train,0.2030209719792582,True,False
nearest_by_relation,new_original,AUGV1-D071,test,D022,train,0.22146151602004202,True,False
nearest_by_relation,new_new,AUGV1-D072,train,AUGV1-D084,validation,0.98694413111357526,True,False
