run_id,run_key,design_id,split,overall_minimum,threshold,signed_margin,absolute_margin,recorded_breach,reproduced_breach,polarity_match,exact_threshold
105,D021-R00,D021,train,0.20000000000000001,0.80000000000000004,-0.60000000000000009,0.60000000000000009,True,True,True,False
106,D021-R01,D021,train,0.20000000000000001,0.80000000000000004,-0.60000000000000009,0.60000000000000009,True,True,True,False
107,D021-R02,D021,train,0.20000000000000001,0.80000000000000004,-0.60000000000000009,0.60000000000000009,True,True,True,False
108,D021-R03,D021,train,0.20000000000000001,0.80000000000000004,-0.60000000000000009,0.60000000000000009,True,True,True,False
109,D021-R04,D021,train,0.10000000000000001,0.80000000000000004,-0.70000000000000007,0.70000000000000007,True,True,True,False
110,D022-R00,D022,train,0.41666666666666669,0.80000000000000004,-0.38333333333333336,0.38333333333333336,True,True,True,False
111,D022-R01,D022,train,0.41666666666666669,0.80000000000000004,-0.38333333333333336,0.38333333333333336,True,True,True,False
112,D022-R02,D022,train,0.41666666666666669,0.80000000000000004,-0.38333333333333336,0.38333333333333336,True,True,True,False
113,D022-R03,D022,train,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
114,D022-R04,D022,train,0.58333333333333337,0.80000000000000004,-0.21666666666666667,0.21666666666666667,True,True,True,False
115,D023-R00,D023,train,0.34999999999999998,0.80000000000000004,-0.45000000000000007,0.45000000000000007,True,True,True,False
116,D023-R01,D023,train,0.59999999999999998,0.80000000000000004,-0.20000000000000007,0.20000000000000007,True,True,True,False
117,D023-R02,D023,train,0.55000000000000004,0.80000000000000004,-0.25,0.25,True,True,True,False
118,D023-R03,D023,train,0.45000000000000001,0.80000000000000004,-0.35000000000000003,0.35000000000000003,True,True,True,False
119,D023-R04,D023,train,0.59999999999999998,0.80000000000000004,-0.20000000000000007,0.20000000000000007,True,True,True,False
120,D024-R00,D024,test,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
121,D024-R01,D024,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
122,D024-R02,D024,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
123,D024-R03,D024,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
124,D024-R04,D024,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
125,D025-R00,D025,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
126,D025-R01,D025,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
127,D025-R02,D025,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
128,D025-R03,D025,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
129,D025-R04,D025,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
130,D026-R00,D026,test,0.58333333333333337,0.80000000000000004,-0.21666666666666667,0.21666666666666667,True,True,True,False
131,D026-R01,D026,test,0.58333333333333337,0.80000000000000004,-0.21666666666666667,0.21666666666666667,True,True,True,False
132,D026-R02,D026,test,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
133,D026-R03,D026,test,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
134,D026-R04,D026,test,0.58333333333333337,0.80000000000000004,-0.21666666666666667,0.21666666666666667,True,True,True,False
135,D027-R00,D027,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
136,D027-R01,D027,train,0.1388888888888889,0.80000000000000004,-0.6611111111111112,0.6611111111111112,True,True,True,False
137,D027-R02,D027,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
138,D027-R03,D027,train,0.083333333333333329,0.80000000000000004,-0.71666666666666667,0.71666666666666667,True,True,True,False
139,D027-R04,D027,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
140,D028-R00,D028,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
141,D028-R01,D028,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
142,D028-R02,D028,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
143,D028-R03,D028,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
144,D028-R04,D028,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
145,D029-R00,D029,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
146,D029-R01,D029,train,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
147,D029-R02,D029,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
148,D029-R03,D029,train,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
149,D029-R04,D029,train,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
