run_id,run_key,design_id,split,doe_stratum,absolute_boundary_distance,failure_adjusted_overall_service_fraction_min,overall_boundary_margin,overall_threshold_breach_any,rank,ranking_type,temporal_breach_fraction
130,D026-R00,D026,test,transition,0.21666666666666667,0.58333333333333337,-0.21666666666666667,True,24,nearest_breach,0.72727272727272729
131,D026-R01,D026,test,transition,0.21666666666666667,0.58333333333333337,-0.21666666666666667,True,25,nearest_breach,1
0,D000-R00,D000,test,pilot_anchor,0.14999999999999991,0.94999999999999996,0.14999999999999991,False,1,all_non_breach,0
1,D000-R01,D000,test,pilot_anchor,0.14999999999999991,0.94999999999999996,0.14999999999999991,False,2,all_non_breach,0
2,D000-R02,D000,test,pilot_anchor,0.14999999999999991,0.94999999999999996,0.14999999999999991,False,3,all_non_breach,0
3,D000-R03,D000,test,pilot_anchor,0.14999999999999991,0.94999999999999996,0.14999999999999991,False,4,all_non_breach,0
4,D000-R04,D000,test,pilot_anchor,0.14999999999999991,0.94999999999999996,0.14999999999999991,False,5,all_non_breach,0
5,D001-R00,D001,train,pilot_anchor,0,0.80000000000000004,0,False,6,all_non_breach,0
7,D001-R02,D001,train,pilot_anchor,0,0.80000000000000004,0,False,7,all_non_breach,0
10,D002-R00,D002,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,1,strongest_breach,1
11,D002-R01,D002,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,2,strongest_breach,1
12,D002-R02,D002,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,3,strongest_breach,1
13,D002-R03,D002,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,4,strongest_breach,1
14,D002-R04,D002,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,5,strongest_breach,1
15,D003-R00,D003,validation,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,6,strongest_breach,1
16,D003-R01,D003,validation,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,7,strongest_breach,1
17,D003-R02,D003,validation,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,8,strongest_breach,1
18,D003-R03,D003,validation,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,9,strongest_breach,1
19,D003-R04,D003,validation,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,10,strongest_breach,1
20,D004-R00,D004,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,11,strongest_breach,1
21,D004-R01,D004,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,12,strongest_breach,1
22,D004-R02,D004,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,13,strongest_breach,1
23,D004-R03,D004,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,14,strongest_breach,1
24,D004-R04,D004,train,pilot_anchor,0.80000000000000004,0,-0.80000000000000004,True,15,strongest_breach,1
25,D005-R00,D005,train,transition,0.80000000000000004,0,-0.80000000000000004,True,16,strongest_breach,1
26,D005-R01,D005,train,transition,0.80000000000000004,0,-0.80000000000000004,True,17,strongest_breach,1
27,D005-R02,D005,train,transition,0.80000000000000004,0,-0.80000000000000004,True,18,strongest_breach,1
28,D005-R03,D005,train,transition,0.80000000000000004,0,-0.80000000000000004,True,19,strongest_breach,1
29,D005-R04,D005,train,transition,0.80000000000000004,0,-0.80000000000000004,True,20,strongest_breach,1
30,D006-R00,D006,train,transition,0.80000000000000004,0,-0.80000000000000004,True,21,strongest_breach,1
31,D006-R01,D006,train,transition,0.80000000000000004,0,-0.80000000000000004,True,22,strongest_breach,1
35,D007-R00,D007,validation,transition,0.80000000000000004,0,-0.80000000000000004,True,23,strongest_breach,1
36,D007-R01,D007,validation,transition,0.80000000000000004,0,-0.80000000000000004,True,24,strongest_breach,1
37,D007-R02,D007,validation,transition,0.80000000000000004,0,-0.80000000000000004,True,25,strongest_breach,1
