scope,first_design_id,first_partition,second_design_id,second_partition,normalized_distance
stage_a_pair,SA-D004,development,SA-D020,validation,0.62135509087783436
stage_a_pair,SA-D004,development,SA-D021,validation,0.93045975725074714
stage_a_pair,SA-D004,development,SA-D022,sealed_holdout,0.61019920904308489
stage_a_pair,SA-D004,development,SA-D023,sealed_holdout,1.0848760553341064
stage_a_pair,SA-D004,development,SA-D024,development,2.4356113056994095
stage_a_pair,SA-D004,development,SA-D025,development,1.6360608380330701
stage_a_pair,SA-D004,development,SA-D026,development,1.2537199479047352
stage_a_pair,SA-D004,development,SA-D027,development,1.3074134183476236
stage_a_pair,SA-D004,development,SA-D028,validation,1.6563716780055002
stage_a_pair,SA-D004,development,SA-D029,sealed_holdout,1.6095590195301077
stage_a_pair,SA-D005,development,SA-D006,development,0.56226267415885312
stage_a_pair,SA-D005,development,SA-D007,development,0.63903187120216398
stage_a_pair,SA-D005,development,SA-D008,validation,0.3360703189362888
stage_a_pair,SA-D005,development,SA-D009,validation,0.46676332992444886
stage_a_pair,SA-D005,development,SA-D010,sealed_holdout,0.40913249612871827
stage_a_pair,SA-D005,development,SA-D011,sealed_holdout,0.6499636288169528
stage_a_pair,SA-D005,development,SA-D012,development,0.62943976817674063
stage_a_pair,SA-D005,development,SA-D013,development,0.72839096922318025
stage_a_pair,SA-D005,development,SA-D014,development,0.83017295121612078
stage_a_pair,SA-D005,development,SA-D015,development,0.91223391753850569
stage_a_pair,SA-D005,development,SA-D016,development,0.77010501388585895
stage_a_pair,SA-D005,development,SA-D017,development,0.90376157935812729
stage_a_pair,SA-D005,development,SA-D018,development,0.69356962872952621
stage_a_pair,SA-D005,development,SA-D019,development,0.96330385872806512
stage_a_pair,SA-D005,development,SA-D020,validation,0.74799424418839089
stage_a_pair,SA-D005,development,SA-D021,validation,1.0366340688544691
stage_a_pair,SA-D005,development,SA-D022,sealed_holdout,0.69454494267994304
stage_a_pair,SA-D005,development,SA-D023,sealed_holdout,1.2212890948208615
stage_a_pair,SA-D005,development,SA-D024,development,2.5357384618362517
stage_a_pair,SA-D005,development,SA-D025,development,1.7405012764514689
stage_a_pair,SA-D005,development,SA-D026,development,1.1808397853271171
stage_a_pair,SA-D005,development,SA-D027,development,1.2893119507129611
stage_a_pair,SA-D005,development,SA-D028,validation,1.6430394600361118
stage_a_pair,SA-D005,development,SA-D029,sealed_holdout,1.8160044605412706
stage_a_pair,SA-D006,development,SA-D007,development,0.42877175976505438
stage_a_pair,SA-D006,development,SA-D008,validation,0.43982377714724707
stage_a_pair,SA-D006,development,SA-D009,validation,0.41760205400965539
stage_a_pair,SA-D006,development,SA-D010,sealed_holdout,0.29310710975419452
stage_a_pair,SA-D006,development,SA-D011,sealed_holdout,0.53449751196043793
stage_a_pair,SA-D006,development,SA-D012,development,0.62760696509304748
stage_a_pair,SA-D006,development,SA-D013,development,0.6080344750382688
stage_a_pair,SA-D006,development,SA-D014,development,0.66718882045319017
stage_a_pair,SA-D006,development,SA-D015,development,0.76081165920419835
stage_a_pair,SA-D006,development,SA-D016,development,0.67434799767777287
stage_a_pair,SA-D006,development,SA-D017,development,0.72541542326935493
stage_a_pair,SA-D006,development,SA-D018,development,0.65324092140879364
stage_a_pair,SA-D006,development,SA-D019,development,0.75304938547401157
stage_a_pair,SA-D006,development,SA-D020,validation,0.61140258772314238
stage_a_pair,SA-D006,development,SA-D021,validation,0.91936969026572368
stage_a_pair,SA-D006,development,SA-D022,sealed_holdout,0.61531374106398651
stage_a_pair,SA-D006,development,SA-D023,sealed_holdout,1.0291803027404234
stage_a_pair,SA-D006,development,SA-D024,development,2.347092579751028
stage_a_pair,SA-D006,development,SA-D025,development,1.5269210574929422
stage_a_pair,SA-D006,development,SA-D026,development,1.2043302484479759
stage_a_pair,SA-D006,development,SA-D027,development,1.2591019487440012
stage_a_pair,SA-D006,development,SA-D028,validation,1.3843748871881809
stage_a_pair,SA-D006,development,SA-D029,sealed_holdout,1.6390698500967507
stage_a_pair,SA-D007,development,SA-D008,validation,0.58309770786448534
stage_a_pair,SA-D007,development,SA-D009,validation,0.23079661807202612
stage_a_pair,SA-D007,development,SA-D010,sealed_holdout,0.58433338901835985
stage_a_pair,SA-D007,development,SA-D011,sealed_holdout,0.15610243982807739
stage_a_pair,SA-D007,development,SA-D012,development,0.26482366660565609
stage_a_pair,SA-D007,development,SA-D013,development,0.20001992041057906
stage_a_pair,SA-D007,development,SA-D014,development,0.2590391975489294
stage_a_pair,SA-D007,development,SA-D015,development,0.37674521214964041
stage_a_pair,SA-D007,development,SA-D016,development,0.51146847410177687
stage_a_pair,SA-D007,development,SA-D017,development,0.5177387947715576
stage_a_pair,SA-D007,development,SA-D018,development,0.38710991053109151
stage_a_pair,SA-D007,development,SA-D019,development,0.4587602275586552
stage_a_pair,SA-D007,development,SA-D020,validation,0.2304356538923997
stage_a_pair,SA-D007,development,SA-D021,validation,0.63072217883410742
stage_a_pair,SA-D007,development,SA-D022,sealed_holdout,0.25192510416353886
stage_a_pair,SA-D007,development,SA-D023,sealed_holdout,0.77551505877012916
stage_a_pair,SA-D007,development,SA-D024,development,2.1427490598083172
stage_a_pair,SA-D007,development,SA-D025,development,1.3169636318007527
stage_a_pair,SA-D007,development,SA-D026,development,1.3934737609149253
stage_a_pair,SA-D007,development,SA-D027,development,1.1906225556317998
stage_a_pair,SA-D007,development,SA-D028,validation,1.4162725308236868
stage_a_pair,SA-D007,development,SA-D029,sealed_holdout,1.4969412785218985
stage_a_pair,SA-D008,validation,SA-D009,validation,0.50692645710242723
stage_a_pair,SA-D008,validation,SA-D010,sealed_holdout,0.20667357239765191
stage_a_pair,SA-D008,validation,SA-D011,sealed_holdout,0.65958466301877905
stage_a_pair,SA-D008,validation,SA-D012,development,0.66900007985908139
stage_a_pair,SA-D008,validation,SA-D013,development,0.7355485715585306
stage_a_pair,SA-D008,validation,SA-D014,development,0.81926318204251514
stage_a_pair,SA-D008,validation,SA-D015,development,0.93339711266519632
stage_a_pair,SA-D008,validation,SA-D016,development,0.74836684648427387
stage_a_pair,SA-D008,validation,SA-D017,development,0.86917255862816112
stage_a_pair,SA-D008,validation,SA-D018,development,0.71387186441315031
stage_a_pair,SA-D008,validation,SA-D019,development,0.9281453038654508
stage_a_pair,SA-D008,validation,SA-D020,validation,0.75878241333851559
stage_a_pair,SA-D008,validation,SA-D021,validation,1.0568747535179208
stage_a_pair,SA-D008,validation,SA-D022,sealed_holdout,0.73885910554342016
stage_a_pair,SA-D008,validation,SA-D023,sealed_holdout,1.2115167520450494
stage_a_pair,SA-D008,validation,SA-D024,development,2.5477921774800669
stage_a_pair,SA-D008,validation,SA-D025,development,1.7458327399765137
stage_a_pair,SA-D008,validation,SA-D026,development,1.1570490942772191
stage_a_pair,SA-D008,validation,SA-D027,development,1.3387162614234216
stage_a_pair,SA-D008,validation,SA-D028,validation,1.65243027149463
stage_a_pair,SA-D008,validation,SA-D029,sealed_holdout,1.7317201160469755
stage_a_pair,SA-D009,validation,SA-D010,sealed_holdout,0.5109139088933119
stage_a_pair,SA-D009,validation,SA-D011,sealed_holdout,0.20721077552339157
stage_a_pair,SA-D009,validation,SA-D012,development,0.2471635883179891
stage_a_pair,SA-D009,validation,SA-D013,development,0.29935296190839261
stage_a_pair,SA-D009,validation,SA-D014,development,0.40848678719361614
stage_a_pair,SA-D009,validation,SA-D015,development,0.49673132730995545
stage_a_pair,SA-D009,validation,SA-D016,development,0.53433798191171544
stage_a_pair,SA-D009,validation,SA-D017,development,0.5952877010225972
stage_a_pair,SA-D009,validation,SA-D018,development,0.38561303998194424
stage_a_pair,SA-D009,validation,SA-D019,development,0.58833953986940135
stage_a_pair,SA-D009,validation,SA-D020,validation,0.31272960980120906
stage_a_pair,SA-D009,validation,SA-D021,validation,0.69483392945117162
stage_a_pair,SA-D009,validation,SA-D022,sealed_holdout,0.27576656886282452
stage_a_pair,SA-D009,validation,SA-D023,sealed_holdout,0.87630184177137938
stage_a_pair,SA-D009,validation,SA-D024,development,2.2224057193379227
stage_a_pair,SA-D009,validation,SA-D025,development,1.3977583962234101
stage_a_pair,SA-D009,validation,SA-D026,development,1.2991765508374162
stage_a_pair,SA-D009,validation,SA-D027,development,1.1497245582670412
stage_a_pair,SA-D009,validation,SA-D028,validation,1.4445300244155495
stage_a_pair,SA-D009,validation,SA-D029,sealed_holdout,1.5730398576384397
stage_a_pair,SA-D010,sealed_holdout,SA-D011,sealed_holdout,0.6735713710959369
stage_a_pair,SA-D010,sealed_holdout,SA-D012,development,0.71982542531638094
stage_a_pair,SA-D010,sealed_holdout,SA-D013,development,0.75721630015531083
stage_a_pair,SA-D010,sealed_holdout,SA-D014,development,0.83617491757623563
stage_a_pair,SA-D010,sealed_holdout,SA-D015,development,0.94263703054752468
stage_a_pair,SA-D010,sealed_holdout,SA-D016,development,0.76242737983474984
stage_a_pair,SA-D010,sealed_holdout,SA-D017,development,0.86562037844462925
stage_a_pair,SA-D010,sealed_holdout,SA-D018,development,0.74619669194601179
stage_a_pair,SA-D010,sealed_holdout,SA-D019,development,0.92657250082285814
stage_a_pair,SA-D010,sealed_holdout,SA-D020,validation,0.77038422067733536
stage_a_pair,SA-D010,sealed_holdout,SA-D021,validation,1.0673273617543337
stage_a_pair,SA-D010,sealed_holdout,SA-D022,sealed_holdout,0.75445650224289362
stage_a_pair,SA-D010,sealed_holdout,SA-D023,sealed_holdout,1.2030770826977164
stage_a_pair,SA-D010,sealed_holdout,SA-D024,development,2.5233939535060985
stage_a_pair,SA-D010,sealed_holdout,SA-D025,development,1.7138994732726458
stage_a_pair,SA-D010,sealed_holdout,SA-D026,development,1.1177269667344976
stage_a_pair,SA-D010,sealed_holdout,SA-D027,development,1.3213652977129375
stage_a_pair,SA-D010,sealed_holdout,SA-D028,validation,1.5632247179305034
stage_a_pair,SA-D010,sealed_holdout,SA-D029,sealed_holdout,1.7256479820016641
stage_a_pair,SA-D011,sealed_holdout,SA-D012,development,0.16758245452196963
stage_a_pair,SA-D011,sealed_holdout,SA-D013,development,0.1205683310788027
stage_a_pair,SA-D011,sealed_holdout,SA-D014,development,0.22494106851003814
stage_a_pair,SA-D011,sealed_holdout,SA-D015,development,0.30732740799603964
