global_run_id,run_key,design_id,realization_id,partition,run_record_hash,design_record_hash,design_construction_seed,ground_selection_seed,satellite_failure_seed,ground_failure_seed
594,SA-D018-R04,SA-D018,R04,development,e0915ed0cc254a65f1b3289cb484a020897fb54b46e166c1e07a20e334c70be4,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,791183951372700354,9184778635357925212,7827706463990504550,6451714400397194905
595,SA-D019-R00,SA-D019,R00,development,91b8f428123df24ff33242cecab83f01ac85d6d56cdcbb4f704833e4956e6667,36cce8e440a1d19406b7bbf6b4c47b4bd97ab2e311a182b18d538f9a55769783,629107883083981362,2418802633096023343,7162446389220009361,6273958859502645144
596,SA-D019-R01,SA-D019,R01,development,215321a9a39367904e1576dc20590ed88152d796a666b89c961c71323c06c12b,36cce8e440a1d19406b7bbf6b4c47b4bd97ab2e311a182b18d538f9a55769783,629107883083981362,2418802633096023343,856861766334025458,7881860449129171903
597,SA-D019-R02,SA-D019,R02,development,2228dd96bea32d87289d647cc0edcf2319f0458bb7439b7689810e401fe74575,36cce8e440a1d19406b7bbf6b4c47b4bd97ab2e311a182b18d538f9a55769783,629107883083981362,2418802633096023343,6738052270637363713,1270343384390510045
598,SA-D019-R03,SA-D019,R03,development,7115927bc86f6473f70748d38d85dc615350c301c2b934475273399c43904314,36cce8e440a1d19406b7bbf6b4c47b4bd97ab2e311a182b18d538f9a55769783,629107883083981362,2418802633096023343,7147494305842198508,7700974244675695614
599,SA-D019-R04,SA-D019,R04,development,32abcbc8b84e214187f034327f2ab3c6e1e463bb9fcef048105ef749cf5ab95b,36cce8e440a1d19406b7bbf6b4c47b4bd97ab2e311a182b18d538f9a55769783,629107883083981362,2418802633096023343,5118301891843005587,968662835404220869
620,SA-D024-R00,SA-D024,R00,development,acff8e4d7418e1e02b91c34a04b54500de523d3eea191aafc85f81c8f9cbd666,c9e6478bd6185df54c3e1489b61fa2857ecd3992325a0073749fb99a6ad8a96c,8184490492559007544,2161254476531248235,4114822600213702309,8679154688489021982
621,SA-D024-R01,SA-D024,R01,development,fb5f3406d76b3653abd3d95e5280ac1b045e7717bc6eba3a06f350e008bf677f,c9e6478bd6185df54c3e1489b61fa2857ecd3992325a0073749fb99a6ad8a96c,8184490492559007544,2161254476531248235,3427677202841362452,4205803121441904021
622,SA-D024-R02,SA-D024,R02,development,83df723d78ff69bf2366eea8707817c31d776c42298ea2707282b90127c4c88d,c9e6478bd6185df54c3e1489b61fa2857ecd3992325a0073749fb99a6ad8a96c,8184490492559007544,2161254476531248235,6381890434404371093,6073845727096136203
623,SA-D024-R03,SA-D024,R03,development,8e8096896a9dc5f8d95002278dc67b048abf8312ca2b385365050016d2728ef4,c9e6478bd6185df54c3e1489b61fa2857ecd3992325a0073749fb99a6ad8a96c,8184490492559007544,2161254476531248235,3917094430566264850,3143657476877708418
