corpus_namespace,global_run_id,run_key,design_id,design_index,realization_id,realization_index,region,partition,sealed,design_record_hash,proposal_status,simulation_authorized,run_record_hash
stage_a_discovery_v1,547,SA-D009-R02,SA-D009,9,R02,2,resilient_core,validation,False,df48fc156562af2ed3ecf37f0761b9307dfe92d152d83c562f84347e0af16fed,NOT_FROZEN,False,b0c8547b5da7a1e8e327dce921425534be520f4b82d721cd60418cba14c48d41
stage_a_discovery_v1,548,SA-D009-R03,SA-D009,9,R03,3,resilient_core,validation,False,df48fc156562af2ed3ecf37f0761b9307dfe92d152d83c562f84347e0af16fed,NOT_FROZEN,False,7c744b14b9e1e23910a7fa6ce023201a4617052a4c9c599a020e3edf6f75cb7d
stage_a_discovery_v1,549,SA-D009-R04,SA-D009,9,R04,4,resilient_core,validation,False,df48fc156562af2ed3ecf37f0761b9307dfe92d152d83c562f84347e0af16fed,NOT_FROZEN,False,c3d988f13a694a942512df29fc0f7b5d6b05c209c5f008cedbe0247e0f17329e
stage_a_discovery_v1,550,SA-D010-R00,SA-D010,10,R00,0,resilient_core,sealed_holdout,True,74ea67179ce8629d89ceb2126c3f63259cee98cb3a0349a1ad5c7c95208bdd8e,NOT_FROZEN,False,e45bfe8038175ac22edda05c8883ed0d64b6d6db5b98a6b1e3a9d26f5ff483b3
stage_a_discovery_v1,551,SA-D010-R01,SA-D010,10,R01,1,resilient_core,sealed_holdout,True,74ea67179ce8629d89ceb2126c3f63259cee98cb3a0349a1ad5c7c95208bdd8e,NOT_FROZEN,False,9d931751d5483e24ff638ba75d4330bcd90438cfd8ba7da133e8947078bc7c72
stage_a_discovery_v1,552,SA-D010-R02,SA-D010,10,R02,2,resilient_core,sealed_holdout,True,74ea67179ce8629d89ceb2126c3f63259cee98cb3a0349a1ad5c7c95208bdd8e,NOT_FROZEN,False,6d6fb30e18ae3d41a16cdcc444505d810f951cd33da24252e8054fd099eddd70
stage_a_discovery_v1,553,SA-D010-R03,SA-D010,10,R03,3,resilient_core,sealed_holdout,True,74ea67179ce8629d89ceb2126c3f63259cee98cb3a0349a1ad5c7c95208bdd8e,NOT_FROZEN,False,4ad0a0d2e3cf385ec5a26fecbba754183e4d75ac7c1ef85273355dba04463f6c
stage_a_discovery_v1,554,SA-D010-R04,SA-D010,10,R04,4,resilient_core,sealed_holdout,True,74ea67179ce8629d89ceb2126c3f63259cee98cb3a0349a1ad5c7c95208bdd8e,NOT_FROZEN,False,a630d8bde726d9e23e05abdd15ddd84681e52184372f67440f06ba5a933a4db7
stage_a_discovery_v1,555,SA-D011-R00,SA-D011,11,R00,0,resilient_core,sealed_holdout,True,2597707c891c6a89bd08809d10e0e60a4942bf1929ed3ee2844d93b50aad3023,NOT_FROZEN,False,dfd69c1ce418ee41caa8298892728055c32b780bf29063b701a8084be84337a0
stage_a_discovery_v1,556,SA-D011-R01,SA-D011,11,R01,1,resilient_core,sealed_holdout,True,2597707c891c6a89bd08809d10e0e60a4942bf1929ed3ee2844d93b50aad3023,NOT_FROZEN,False,2ff23b84abf70981d57e24a6667f94e73edf973a59c84471347c8ac680265855
stage_a_discovery_v1,557,SA-D011-R02,SA-D011,11,R02,2,resilient_core,sealed_holdout,True,2597707c891c6a89bd08809d10e0e60a4942bf1929ed3ee2844d93b50aad3023,NOT_FROZEN,False,e9725e02fa0a56fdbedea7c291a88cdb11cf3ef269582f9c09dff561951e8649
stage_a_discovery_v1,558,SA-D011-R03,SA-D011,11,R03,3,resilient_core,sealed_holdout,True,2597707c891c6a89bd08809d10e0e60a4942bf1929ed3ee2844d93b50aad3023,NOT_FROZEN,False,a166e552628ac733c439e2e4a23b287cc6005b4a1b7c1a79d931a2a722ede799
stage_a_discovery_v1,559,SA-D011-R04,SA-D011,11,R04,4,resilient_core,sealed_holdout,True,2597707c891c6a89bd08809d10e0e60a4942bf1929ed3ee2844d93b50aad3023,NOT_FROZEN,False,6134d0c7ae6a564cc13a14a620b523b59396f4d25d882f63bd9199674a086540
stage_a_discovery_v1,560,SA-D012-R00,SA-D012,12,R00,0,boundary,development,False,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,NOT_FROZEN,False,a0032a21a6fcde424e7c8904f53df26893d4b8596b212b67b291cb111a7389d7
stage_a_discovery_v1,561,SA-D012-R01,SA-D012,12,R01,1,boundary,development,False,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,NOT_FROZEN,False,e3be52c93f671b35979c8cf83a4f5b6803f36ca0330c18878a83b9043378a7d1
stage_a_discovery_v1,562,SA-D012-R02,SA-D012,12,R02,2,boundary,development,False,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,NOT_FROZEN,False,1db46f0435444221df37053aaf98d2c6e3e756e111ef6bc4f3685ab3da21233f
stage_a_discovery_v1,563,SA-D012-R03,SA-D012,12,R03,3,boundary,development,False,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,NOT_FROZEN,False,a50051e7234bf14cac6c7a0a7ea9ecbfb1d563dd5010502cfdffd087a83306f0
stage_a_discovery_v1,564,SA-D012-R04,SA-D012,12,R04,4,boundary,development,False,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,NOT_FROZEN,False,8cc34309926c1749d2bb52f63bf000395f1a5089148e2894d1c5693aae43c5f3
stage_a_discovery_v1,565,SA-D013-R00,SA-D013,13,R00,0,boundary,development,False,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,NOT_FROZEN,False,488252c8f76ac7d481b85b905dda19c235c606d9e71c8ca7efee164945a4484f
